date;value
2023-04-26;26145
2023-04-29;14627
2023-04-01;700
2023-04-03;67380
2023-04-04;1000
2023-04-08;61150
2023-04-11;0
2023-04-14;68925
2023-04-22;0
2023-04-24;2740
2023-04-30;0
2023-04-10;3250
2023-04-10;11000
2023-04-11;3270
2023-04-15;0
2023-04-18;62395
2023-04-24;72220
2023-04-26;0
2023-04-27;1945
2023-04-28;1075
2023-04-06;0
2023-04-08;14616
2023-04-08;0
2023-04-09;0
2023-04-11;15135
2023-04-17;85230
2023-04-21;9705
2023-04-25;6400
2023-04-04;9134
2023-04-07;0
2023-04-12;7702
2023-04-15;45690
2023-04-19;5993
2023-04-19;10475
2023-04-27;49115
2023-04-28;0
2023-04-29;0
2023-04-02;0
2023-04-03;0
2023-04-06;3420
2023-04-06;1947
2023-04-07;7372
2023-04-08;2100
2023-04-10;21756
2023-04-13;48495
2023-04-14;6791
2023-04-23;0
2023-04-23;12550
2023-04-25;400
2023-04-27;250
2023-04-29;51560
2023-04-01;1000
2023-04-02;15505
2023-04-03;2813
2023-04-07;0
2023-04-09;550
2023-04-11;71500
2023-04-14;1000
2023-04-15;2939
2023-04-16;3700
2023-04-20;0
2023-04-30;2000
2023-04-02;2030
2023-04-03;7495
2023-04-04;9439
2023-04-05;11989
2023-04-14;0
2023-04-16;0
2023-04-19;0
2023-04-20;8726
2023-04-22;24020
2023-04-25;0
2023-04-27;22250
2023-04-01;0
2023-04-03;0
2023-04-10;0
2023-04-20;100
2023-04-22;750
2023-04-22;7120
2023-04-02;5525
2023-04-06;9297
2023-04-08;12845
2023-04-13;0
2023-04-15;570
2023-04-17;8884
2023-04-21;9235
2023-04-26;2675
2023-04-04;66830
2023-04-05;0
2023-04-05;62635
2023-04-09;4650
2023-04-10;151490
2023-04-12;88505
2023-04-17;4775
2023-04-17;8895
2023-04-18;11254
2023-04-29;0
2023-04-29;226
2023-04-30;25740
2023-04-01;32540
2023-04-02;0
2023-04-04;0
2023-04-07;700
2023-04-12;18046
2023-04-13;7355
2023-04-17;0
2023-04-19;1842
2023-04-19;73945
2023-04-25;41485
2023-04-27;0
2023-04-28;2258
2023-04-28;0
2023-04-28;60200
2022-05-03;2554
2022-05-05;14599
2022-05-10;0
2022-05-12;19373
2022-05-19;15392
2022-05-22;5280
2022-05-24;39465
2022-05-29;1000
2022-05-02;7815
2022-05-04;63335
2022-05-05;7128
2022-05-05;12940
2022-05-07;2070
2022-05-08;7340
2022-05-09;43049
2022-05-09;32725
2022-05-13;3667
2022-05-16;73215
2022-05-19;810
2022-05-22;0
2022-05-27;4580
2022-05-30;6645
2022-05-30;8070
2022-05-30;21778
2022-05-01;0
2022-05-10;800
2022-05-11;2700
2022-05-15;1850
2022-05-18;1820
2022-05-23;10658
2022-05-31;4595
2022-05-31;0
2022-05-03;12580
2022-05-06;6286
2022-05-10;20979
2022-05-20;0
2022-05-26;31780
2022-05-27;0
2022-05-28;0
2022-05-29;4930
2022-05-09;16657
2022-05-11;40352
2022-05-13;0
2022-05-15;3751
2022-05-19;7484
2022-05-22;150
2022-05-24;8954
2022-05-27;2370
2022-05-28;4027
2022-05-31;2090
2022-05-03;33915
2022-05-07;470
2022-05-14;4700
2022-05-15;20000
2022-05-20;2360
2022-05-24;2227
